rank,State,Population,HouseholdIncome
,District of Columbia,684498,82604
,Maryland,6003435,81868
,New Jersey,8881845,79363
,Hawaii,1422029,78084
,Massachusetts,6830193,77378
,Alaska,738516,76715
,Connecticut,3581504,76106
,New Hampshire,1343622,74057
,Virginia,8413774,71564
,California,39148760,71228
,Washington,7294336,70116
,Colorado,5531141,68811
,Minnesota,5527358,68411
,Utah,3045350,68374
,Delaware,949495,65627
,New York,19618453,65323
,Illinois,12821497,63575
,North Dakota,752201,63473
,Rhode Island,1056611,63296
,Wyoming,581836,62268
,Vermont,624977,60076
,Texas,27885195,59570
,Pennsylvania,12791181,59445
,Oregon,4081943,59393
,Wisconsin,5778394,59209
,Nebraska,1904760,59116
,Iowa,3132499,58580
,Nevada,2922849,57598
,Kansas,2908776,57422
,South Dakota,864289,56499
,Arizona,6946685,56213
,Georgia,10297484,55679
,Maine,1332813,55425
,Michigan,9957488,54938
,Ohio,11641879,54533
,Indiana,6637426,54325
,Missouri,6090062,53560
,Florida,20598139,53267
,Idaho,1687809,53089
,Montana,1041732,52559
,North Carolina,10155624,52413
,Oklahoma,3918137,51424
,South Carolina,4955925,51015
,Tennessee,6651089,50972
,Alabama,4864680,48486
,Kentucky,4440204,48392
,New Mexico,2092434,48059
,Louisiana,4663616,47942
,Arkansas,2990671,45726
,West Virginia,1829054,44921
,Mississippi,2988762,43567
